StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,b01,b02,b03,b03_19_TEXT,b04,b04_5_TEXT,b05,b06,b07,b07_5_TEXT,b08,b08a,b08b,b09,b10,b10a,o01_1,o01_2,o01_3,o01_4,o01_5,o02,o03_1,o03_2,o03_3,a01,a02,a03,a04,a04a,a05_1,a05_2,a05_3,a05_4,ao5a,a06,a07,a08,a09,a10,a10a,a11,a12,a12a,a13,a14_1,a14_2,a14_3,a15_1,a15_2,a15_3,a16_1,a16_2,a16_3,a17_1,a17_2,a17_3,e01_1,e01_2,e01_3,e02,e03_1,e03_2,e03_3
2022-10-13 10:16:09,2022-10-13 12:55:21,IP Address,107.77.226.58,100,9552,True,2022-10-13 12:55:22,R_1jHss7athU2V6u5,,,,,40.7809,-73.9502,anonymous,EN,SP,18-25,940:131:01,,Freshman,,Dos años ( 2 years - high school freshman and sophomore year).,"I speak Gujarati at home with my parents and other close family. I have tried to learn Italian and Russian, but unfortunately i lack the time to commit to these languages. I chose to continue studying spanish because I know the most about this language.",Face-to-face,,No,,,10-15 miles away,No,,4,5 - most comfortable,,,3,Yes,5 = readily accessible when I need it,3,4,I wanted to further my level in spanish and be able to communicate with more people. I think this will also help with my future career.,I like talking to people in person which creates a closer connection to people rather than online. The professor is also able to catch mistakes you make easier in person.,N/A,Yes,,4,3,4,3,"I think that my skill set is still developing, and I have not been exposed to as much materials to listen to or read in spanish.","You form a close connection with the teacher, and are able to express thought without the inconvenience of technology disrupting class.","Sometimes, not all the people are able to talk in class as much as they wanted to, leading to lower amount of participation points.",Everyone can participate though the chat feature.,You get to talk less and do not catch mistakes while talking as much because everyone is on mute.,Face-to-face,You see people around you who are speaking that also motivate you to try your hardest to have a conversation back.,You might learn specific words that pertain to technology and online meetings which you can use later.,More efficient,"Face to face education provides an environment without distractions from your home and any moment can be a teachable moment. ",2,2,4,3,2,5 = most comfortable,3,5 = most communication,2,3,2,4,3,5 = extremely useful,3,4,Yes,3,4,3
2022-10-13 12:40:47,2022-10-13 12:55:27,IP Address,128.6.36.132,100,880,True,2022-10-13 12:55:28,R_308clIHY56SY3Ig,,,,,40.5511,-74.4606,anonymous,EN,AD,18-25,940:131:01,,Sophomore,,4 years of highschool,"Romanian ",Other,School,Yes,Yes,I used Rosetta Stone and I did not like it at all.,10-15 miles away,Yes,10-15 hours,5 - most comfortable,4,,,4,Yes,5 = readily accessible when I need it,3,4,"What motivated me was to be able to communicate with my dad's side of the family since most of them only speak spanish. ",I chose an in person class because I feel that I learn better when I have a professor visually and verbally explaining a lesson.,,Yes,,2,4,3,4,I feel like I need more practice in speaking because it's the hardest part of learning a language for me. Not only do you have to use the correct grammar and pronunciation but you also have to think on the spot which stresses me out and makes me forget what I wanted to say,"The teacher can easily correct you and give you tips ",You have to get outside of your comfort zone and speak outloud,"You control the timeline ","People tend to not take it as seriously ",Face-to-face,"There are other student learning with you which is motivating. ",N/A,Similar,It's similar because you are learning both ways. Everyone benefits from different learning styles so what works for some may not work for all. Having the option between the two types is important.,3,1 = least anxious,3,2,4,4,4,2,4,3,3,5 = extremely well,4,5 = extremely useful,3,4,Yes,5 = great school-life balance,3,4
2022-10-13 14:42:33,2022-10-13 14:50:00,IP Address,128.6.37.240,100,447,True,2022-10-13 14:50:00,R_2e8LY4mb42wOht3,,,,,40.5511,-74.4606,anonymous,EN,AS,18-25,940:131:01,,Freshman,,2 years,"yes, gujrati",Other,School,No,,,5-10 miles away,No,,4,5 - most comfortable,2,2,4,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,requirement for rutgers,I learn better in person,,Yes,,4,4,4,4,,You are forced to speak so it is good for you,Sometimes I may feel embarrassed not knowing the answer,,,Face-to-face,You learn better in person,,Niether,,4,1 = least anxious,4,3,4,3,2,1 = least communication,5 = most communication,3,2,5 = extremely well,4,4,4,5 = extremely useful,Yes,5 = great school-life balance,2,3
2022-10-13 14:42:15,2022-10-13 15:37:56,IP Address,128.6.37.109,100,3341,True,2022-10-13 15:37:57,R_3k5wqdZOGzE95tf,,,,,40.5511,-74.4606,anonymous,EN,HF,18-25,940:131:01,,Freshman,,"Prior to this class, 2 years in high school",No,Face-to-face,,No,,,1-5 miles away,No,,4,4,1 - least comfortable,1 - least comfortable,3,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,"Truthfully, to fulfill my Honors College SAS majors foreign language proficiency requirement, but also because it’s also good to learn another language especially since I’m majoring in human resource management.",I honestly didn’t know there was an online class.,,Yes,,3,3,3,2,"I think for listening, we just don’t listen audios often to things. I also struggle with that a lot so listening comprehension so there’s that also, especially since different people speak in different accents/paces, etc. In terms of speaking, reading, writing, along with listening, I don’t feel that I’m on the same level as everyone else as well as me not remembering things from my previous classes makes it so that I always need more practice. I need much more practice than everyone else so I learning in class and even at home isn’t always “enough.” ",Being able to speak and listen clearly without having to deal with technical problems. Smoother transition when speaking in class and usually better comprehension in general.,More anxiety in answering since everything is face-to-face. Less confident in engaging in group activities and participation.,"Easier/Better confidence in carrying out group tasks. ",Overall comprehension is skewed due to lack of face-to-face contact with TEACHER.,Online,"Since participation is a big part of the grade, it would overall be better to stay motivated since my grades wouldn’t be as bad. In honesty, neither would really keep me completely motivated as I would probably struggle regardless. Being face-to-face I feel ashamed of not knowing everything and I don’t feel wanted in the class.","I just sometimes feel better participating, but online is still not necessarily better in actual learning. ",Similar,"If anything I think it’s somewhat similar, not more efficient and even sometimes less efficient. I think it sometimes boils down to the instructor and the type of class that it is as well. Some classes may not necessarily need that face-to-face interaction to have students actually learn and comprehend.",3,2,4,3,4,2,3,3,3,3,3,3,3,5 = extremely useful,3,4,No,2,2,2
2022-10-13 18:36:24,2022-10-13 18:46:58,IP Address,100.1.148.252,100,634,True,2022-10-13 18:46:59,R_2fDoLihfvo3Dvk6,,,,,40.4992,-74.4996,anonymous,EN,VG,18-25,940:132:90,,Sophomore,,"1.5 years, 3 semesters",No,Face-to-face,,Yes,No,,1-5 miles away,No,,5 - most comfortable,5 - most comfortable,3,5 - most comfortable,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,To fulfill the foreign language requirement for the Honors College.,,"I am balancing 18 credits this semester so the online platform worked best since many of my other classes are in person. ",Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,,,"Can balance and complete the coursework when convenient for me. ",Not the face-to-face interactions with Professor and classmates besides on Zoom.,Online,There is no excuse not to complete because I always have access to my laptop. Sometimes traveling on the Rutgers buses can create a hassle with inperson courses.,Spending more time on an assignment rather than a time crunch in face-to-face courses.,Similar,Typically it is the same amount of coursework either way,4,1 = least anxious,1 = least anxious,1 = least anxious,4,4,4,4,4,4,5 = extremely well,5 = extremely well,5 = extremely well,5 = extremely useful,4,5 = extremely useful,Yes,5 = great school-life balance,4,5 = great school-life balance
2022-10-13 19:27:13,2022-10-13 20:07:47,IP Address,128.6.37.116,100,2434,True,2022-10-13 20:07:48,R_3MyDB20wYmeex7E,,,,,40.5511,-74.4606,anonymous,EN,LB,18-25,940:131:03,,Freshman,,10 years,No,Face-to-face,,No,,,20+ miles away,No,,4,4,,,4,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I want to continue my Spanish education as I would love to ideally be fluent. I also have a goal of doing study abroad in a Spanish speaking country.,"I am on campus so in person class makes sense for me, also I much prefer it. Two school years ago was completely online and it was not a good experience, I felt very unproductive. I happened to take AP Spanish during that year and I definitely did not receive the best education through an online course as I felt very unprepared for the speaking portion of the AP exam.",,Yes,,3,4,4,4,,In my in person class I am able to make connections with my peers and professor. I love the community that we have in our class and if it were online I doubt it would be the same,"It is late at night when I am tired, it might not be at that time if it were online",,Not ideal for practicing speaking,Online,Being in person encourages you to participate more and take part in the class. Online it is easy to become isolated and unmotivated,,Niether,,2,3,3,3,2,4,4,1 = least communication,4,3,2,4,4,4,4,4,Yes,3,3,4
2022-10-13 23:02:13,2022-10-13 23:09:35,IP Address,69.114.240.209,100,442,True,2022-10-13 23:09:36,R_1er91iv18NlhZzK,,,,,40.5175,-74.3991,anonymous,EN,JS,18-25,940:131:90,,Sophomore,,4 years,no,Face-to-face,,No,,,10-15 miles away,Yes,5-10 hours,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,,,Online is better since i dont have to commute,Yes,,5 = a lot of practice,5 = a lot of practice,4,5 = a lot of practice,,Interactions?,"Yes, it takes more time, being home its eassier ","flexibility ",,Face-to-face,"becase the teacher sees you ",,More efficient,"again, commuting times take alot of your day",1,1 = least anxious,2,2,5 = most comfortable,2,2,5 = most communication,5 = most communication,5 = most communication,5 = extremely well,3,2,4,2,1 = not useful at all,Yes,5 = great school-life balance,3,3
2022-10-14 08:21:21,2022-10-14 08:27:00,IP Address,128.6.36.189,100,339,True,2022-10-14 08:27:01,R_3pm3pXaAAjk5Dzn,,,,,40.5511,-74.4606,anonymous,EN,AP,18-25,940:131:03,,Freshman,,10+,Yes. Tamil & Telugu,Face-to-face,,No,,,1-5 miles away,No,,4,4,2,2,3,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,4,required to take the class for SASHP,learn more and ask professor more questions,n/a,Yes,,3,3,3,2,"Not enough classwork assignments to try and practice skills we will be tested on. Like a ""mock test""","speaking with peers and professors ",timings and getting to the campus and catching a bus at night,more independence and freedom to complete work whenever I have time,more accountability and time management required,Face-to-face,"Not a lot of room for procastination ",recording yourself speak through go formative etc.,Niether,,3,5 = most anxious,5 = most anxious,3,3,3,4,3,5 = most communication,4,3,4,4,5 = extremely useful,3,4,N/A,3,3,3
2022-10-13 10:16:28,2022-10-14 10:16:26,IP Address,128.6.36.246,100,86397,True,2022-10-14 10:16:26,R_3hAdCrl5igdo9HS,,,,,40.5511,-74.4606,anonymous,EN,JK,18-25,940:131:01,,Freshman,,4 years,N/A,Face-to-face,,No,,,20+ miles away,Yes,5-10 hours,2,4,,,1 - least comfortable,No,4,3,4,I believe showing fluency in a second language will look better on my resume and make me more attractive to employers.,In person classes make understanding spoken language much more clear.  Online classes come with issues as connectivity issues and problems focusing.,N/A,Yes,,4,4,5 = a lot of practice,2,"A lot of teachers would often repeat themselves in English, or if we had to listen to a Spanish audio, we had subtitles (either English or Spanish) to assist us, meaning it was hard to focus on just listening.","Easier speaking, listening, and overall comprehension.  Easier to notice dialects, tones, and other forms of nonverbal communication.","Time-oriented, and you're easily put on the spot.  Can be affected by outside interferences such as illness or previous commitments.","Easily accessible from home, less anxiety-inducing, and less time-sensitive","Lower overall comprehension, easier to get distracted",Face-to-face,More pressure and stronger feeling that you are actually learning from the lesson,"Understanding online slang, vernacular, or other terms which may differ across countries, which is important for speaking to same-age peers from other countries.",Niether,,1,1 = least anxious,3,5 = most anxious,3,5 = most comfortable,1 = least comfortable,1 = least communication,5 = most communication,2,1 = Not well at all,4,2,5 = extremely useful,5 = extremely useful,5 = extremely useful,No,2,4,1 = not a good school-life balance
2022-10-14 13:50:44,2022-10-14 13:58:53,IP Address,73.33.192.153,100,488,True,2022-10-14 13:58:53,R_1P1qFRUdR0GgZl3,,,,,39.9484,-74.9875,anonymous,EN,JW,18-25,940:131:03,,Freshman,,3 years but only 1 semester in college,No,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,3,,3,4,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,4,I signed up to fill my requirement for the Honors College.,It is easier for me to learn in-person than it is online.,,Yes,,4,5 = a lot of practice,4,4,,It is easier to speak and interact with the professor. It is also easier to practice the language with someone in person.,None,Less travel time.,"It is more difficult to work with others on an online format. I, personally, do not retain the information as well in an online format",Face-to-face,"In an online class, it is easier to stop paying attention and sit on your phone.",None,Niether,,2,4,1 = least anxious,3,3,5 = most comfortable,3,4,5 = most communication,4,4,5 = extremely well,4,4,3,3,N/A,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-14 15:44:32,2022-10-14 15:51:42,IP Address,128.6.37.118,100,429,True,2022-10-14 15:51:43,R_1Hk2JGNzqwCvJBB,,,,,40.5511,-74.4606,anonymous,EN,TA,18-25,940:131:02,,Freshman,,1,Gujurati,Face-to-face,,No,,,5-10 miles away,No,,2,4,1 - least comfortable,1 - least comfortable,2,No,5 = readily accessible when I need it,3,5 = readily accessible when I need it,I needed it for the SAS Honors Program.,I genuinely learn better in person than online.,,Yes,,3,3,3,3,I just do not often know how to practice despite the amount of resources we are given.,'- Easier to ask questions; Easier to understand; better persepctive,'- Less Individualized; Less audio reflection; less focus on small things,Audio Replay; Easier to manage at own times.,"No specific help ",Face-to-face,"You cannot just leave or focus on something else, in person is in person. There is a lot to do.",I do not think there are.,Similar,"Online education, especially for a language class can lead to a lot less development. In person you have an educator who is actively there seeing your facial expressions when you struggle.",2,1 = least anxious,1 = least anxious,1 = least anxious,3,5 = most comfortable,2,2,5 = most communication,3,5 = extremely well,3,3,4,3,5 = extremely useful,Yes,5 = great school-life balance,3,2
2022-10-15 12:47:05,2022-10-15 12:54:15,IP Address,73.160.172.48,100,429,True,2022-10-15 12:54:16,R_1I5AcqeVMpLRFkA,,,,,40.3172,-74.4304,anonymous,EN,AD,18-25,940:132:90,,Junior,,"1 semester in college, 2 years in HS","Hindi, Bengali",Face-to-face,,No,,,10-15 miles away,Yes,5-10 hours,5 - most comfortable,,3,2,,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"As I am a part of the honors program, to finish my foreign language requirement",,Because i took intermediate spanish online last year and am comfortable with the format of the class.,Yes,,3,4,4,2,"Because our interactions in spanish are limited to our online assignments, and there is no face-to-face spanish speaking","More interaction, can ask questions very directly and immediately",None,"Prepares us well for our assignments, and last year I also remember Linguameeting was a great tool to use our knowledge in class in the real world.",Not enough face-to-face interaction,Face-to-face,"Because there is an expectation to come into class every week with sufficient Spanish knowledge and interact with students and teachers there, whereas for the online format students are more motivated to learn for the sake of completing the assignments","More online resources to help Students learn ",Niether,,3,2,3,3,4,4,4,3,5 = most communication,4,3,4,3,4,3,3,Yes,4,3,3
2022-10-15 13:35:56,2022-10-15 13:50:43,IP Address,165.225.220.189,100,887,True,2022-10-15 13:50:44,R_bl5ilnZlegaFCiR,,,,,40.7494,-73.9664,anonymous,EN,RP,18-25,940:131:01,,Freshman,,I have studied spanish for 1 semester (this one),I speak Gujarati at home.,Other,I started learning Spanish in high school,No,,,1-5 miles away,No,,4,4,2,2,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,4,"I was motivated by the necessity of a language, in terms of how it can help me in my target profession, which is in healthcare. I was also influenced by a language course being a requirement for me.","I felt that an in person class would be better for me in terms of my learning and comprehension of the language. I also believe that an online class would make me lazy and I wouldn't do as much as work as if I did in person class. ",,Yes,,4,4,5 = a lot of practice,4,,"The ability for me to interact with my other peers and with a Spanish profesor who can teach me way more information that an online class. ","The negative aspects don't relate to the class itself, but it would be getting to class on the specific time.",It can be more flexible with your schedule.,You will not be able to interact with as many peers and technology issues may hinder your learning.,Face-to-face,"You are able to constantly talk to people  and it is easier to ask questions. ","Not really, maybe the access of more materials. ",Niether,,3,3,2,2,3,5 = most comfortable,4,3,5 = most communication,4,2,4,3,4,3,4,N/A,3,4,4
2022-10-12 18:46:31,2022-10-15 14:28:57,IP Address,73.215.206.163,100,243745,True,2022-10-15 14:28:57,R_3MmuRhtFSnvGcVu,,,,,40.3015,-74.5027,anonymous,EN,SR,18-25,Other:,940:261:01,Sophomore,,10 years,Tamil,Face-to-face,,No,,,16-20 miles away,Yes,5-10 hours,5 - most comfortable,5 - most comfortable,,,,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I wanted to continue learning Spanish because I have been learning it for so many years and didn't want to lose my connection with the language.,My class is hybrid and fit in well with my schedule which is why I chose to take it. I also think learning a language in person helps tremendously.,N/A,Yes,,4,3,4,3,"I think the course I am in is more about the structure of Spanish itself, so there is not as much reading or writing involved.","It is easier to learn and absorb information face-to-face, especially when it is new and unfamiliar.",I can't really thikn of any negative aspects.,It allows me to manage my time better and do things at my own pace.,You don't have as many questions and you don't always know if you are understanding things correctly.,Face-to-face,"It is more engaging as you are actively discussing and participating, which is not the case online.",You get more familiar with reading and writing since a majority of responses are typed.,Niether,,4,3,1 = least anxious,1 = least anxious,4,4,4,4,5 = most communication,5 = most communication,4,4,4,5 = extremely useful,4,5 = extremely useful,Yes,4,4,4
2022-10-15 16:09:47,2022-10-15 16:17:59,IP Address,100.1.141.114,100,491,True,2022-10-15 16:18:00,R_2bQq7dSKpgES0np,,,,,40.488,-74.4544,anonymous,EN,AK,18-25,940:132:90,,Sophomore,,13 years,Urdu,Face-to-face,,No,,,1-5 miles away,Yes,10-15 hours,5 - most comfortable,5 - most comfortable,1 - least comfortable,5 - most comfortable,1 - least comfortable,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,I needed to sign up for a language course to complete graduation requirements.,,"The flexibility of an online class appealed to me more. ",No,I feel like I haven't learned more fluency.,4,5 = a lot of practice,5 = a lot of practice,4,,Taking a face to face format means questions can be answered on the spot.,There is more time commitment and requires more effort to access the class.,There is more flexibility in the material.,The negative aspects is that there is more independent and unsupervised work.,Online,You can access the material more easily and have greater knowledge on the general direction of the class.,n/a,More efficient,More accessible material,4,1 = least anxious,5 = most anxious,2,4,5 = most comfortable,4,5 = most communication,4,5 = most communication,2,5 = extremely well,3,3,2,2,Yes,4,3,4
2022-10-16 20:52:33,2022-10-16 21:07:02,IP Address,69.121.238.17,100,868,True,2022-10-16 21:07:02,R_3mEx3gmcXKvMpYB,,,,,40.488,-74.4544,anonymous,EN,"KR ",18-25,Other:,940:261:01,Senior,,"7 years in middle school and high school, 3 semesters in college ","Yes, I speak Tamil ",Face-to-face,,No,,,5-10 miles away,No,,5 - most comfortable,4,,,,Yes,5 = readily accessible when I need it,4,4,I want to go into immigration law and I believe that learning Spanish will highly benefit me and allow me to help others. I am also extremely interested and intrigued by Latin culture.,I’m doing hybrid. I like the in person class when reviewing bc I am able to learn better face-to-face and interact easily with more people.,"Hybrid - I chose hybrid bc I don’t have a time limit in assignments compared to in class so I don’t feel the anxiety that comes with time pressure, I’m genuinely learning. ",Yes,,4,4,3,5 = a lot of practice,"N/A This course has been very helpful and it is only a month and a half into the semester, the areas that are slightly lower in practice are areas we will improve on this semester . ","I can listen better, I think face-to-face gives you chance to see how people are speaking and hear how some people are speaking and really force you to talk and participate. ","Some classes have extreme timed assignments and I face a lot of pressure taking those in another language too and feel as if I do not do my best. The pressure is even more worse in person. ","I am able to make a schedule of when yo do my work and meet once a week with my professor and classmates to recap. I feel like I am not pressured. ",There is a lack of interaction and participation in comparison to face-to-face format.,Face-to-face,"I think that knowing that I have to probably speak in person and work with others face to face gives me motivation to work harder ","There are so many resources such as duo lingo, Spanish dictionary, Kahoot, quizlet, etc. that can be used to practice concepts and words that you can’t do in person without it being loud. ",Niether,,4,2,4,2,4,2,5 = most comfortable,4,4,5 = most communication,3,3,4,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,3,3,5 = great school-life balance
2022-10-17 17:05:52,2022-10-17 17:14:21,IP Address,128.6.37.193,100,508,True,2022-10-17 17:14:21,R_3g0ZcVFHAHkPnki,,,,,40.5511,-74.4606,anonymous,EN,CHM,18-25,940:131:03,,Junior,,2,Spanish,Face-to-face,,No,,,20+ miles away,Yes,10-15 hours,4,4,3,3,4,Yes,5 = readily accessible when I need it,4,5 = readily accessible when I need it,I want to be fluent in Spanish.,In person is much easier to learn a language because you can have more fluid and consistent conversations.,,Yes,,5 = a lot of practice,4,4,5 = a lot of practice,,More opportunities for conversation and pronunciation correction.,The amount of time it takes for me to get here and how late in the day the class is.,The ease of doing it from home.,"Technological issues and less conversation,",Face-to-face,Because being in-person helps keep you accountable for deadlines.,no,Niether,,3,5 = most anxious,3,4,3,4,3,1 = least communication,5 = most communication,2,4,3,4,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,4,4
2022-10-17 18:51:38,2022-10-17 20:41:02,IP Address,128.6.36.190,100,6563,True,2022-10-17 20:41:02,R_3Fc079FjFW0iGc1,,,,,40.5511,-74.4606,anonymous,EN,IL,18-25,940:131:03,,Junior,,4 years,"Not outside studying, no",Other,School,No,,,1-5 miles away,No,,5 - most comfortable,5 - most comfortable,2,4,5 - most comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,Didn't want Spanish before college to go to waste. Spanish is useful.,"I prefer to have a professor who knows me, it makes me feel more connected to the content.",,Yes,,4,4,5 = a lot of practice,4,,I get to interact with my professor and my peers with ease.,Sometimes it can be nerve wracking to confront challenges in front of my peers.,,,Face-to-face,"I know my fellow classmates and make connections, I feel like I am in a community of people working towards a goal.",,Niether,,3,2,4,3,4,3,3,2,5 = most communication,3,3,4,3,5 = extremely useful,4,3,Yes,2,4,5 = great school-life balance
2022-10-18 13:09:02,2022-10-18 13:13:41,IP Address,107.122.157.85,100,279,True,2022-10-18 13:13:42,R_3O0vIlPeSJ1kL1v,,,,,40.6801,-73.9847,anonymous,EN,AS,18-25,940:121:01,,Sophomore,,0,"Yes, Hindi",Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,5 - most comfortable,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,,,,Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,,,,,,,,Similar,,,3,4,2,4,3,4,5 = most communication,5 = most communication,5 = most communication,3,3,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,N/A,2,2,2
2022-10-18 13:10:04,2022-10-18 13:14:54,IP Address,107.127.42.74,100,290,True,2022-10-18 13:14:55,R_3gXgQeVWGn08p7Z,,,,,40.7683,-73.9802,anonymous,EN,HR,18-25,940:121:01,,Freshman,,"2 years in high school and now one in college ","no I do not ",Face-to-face,,Yes,,,20+ miles away,Yes,0-5 hours,5 - most comfortable,5 - most comfortable,1 - least comfortable,1 - least comfortable,5 - most comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"My girlfriends mom only speaks Spanish ",I didn’t know there was a online class option,,Yes,,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,5 = a lot of practice,,"The teacher will help right there ","It can be embarrassing not knowing ","You don’t have to travel ",It’s over zoom,Face-to-face,"You can’t go on your phone really ","It’s easier to be comfortable ",Niether,,5,3,3,3,5 = most comfortable,5 = most comfortable,5 = most comfortable,4,5 = most communication,5 = most communication,5 = extremely well,5 = extremely well,5 = extremely well,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-18 13:09:03,2022-10-18 13:15:50,IP Address,128.6.36.138,100,407,True,2022-10-18 13:15:50,R_0on2Nmbg9tI8QY9,,,,,40.5511,-74.4606,anonymous,EN,FJ,18-25,940:121:01,,,,"2 years ","No ",Other,"In high school ",No,,,1-5 miles away,Yes,10-15 hours,5 - most comfortable,5 - most comfortable,1 - least comfortable,1 - least comfortable,1 - least comfortable,Yes,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,"I want to learn the spanish langauge ","I think it makes more sense to learn  a new language in person ",,Yes,,2,3,2,5 = a lot of practice,"We don't read, speak, or write in spanish very often in class ","Being able to have real conversations with real people ",,,,Face-to-face,,,Niether,,1,5 = most anxious,2,3,1 = least comfortable,5 = most comfortable,4,1 = least communication,5 = most communication,3,4,5 = extremely well,5 = extremely well,5 = extremely useful,4,5 = extremely useful,N/A,,,
2022-10-18 13:10:25,2022-10-18 13:16:29,IP Address,128.6.36.222,100,363,True,2022-10-18 13:16:29,R_RWweeldWIQcELw5,,,,,40.5511,-74.4606,anonymous,EN,PR,18-25,940:121:01,,Freshman,,"2 semesters ",no,Face-to-face,,No,,,1-5 miles away,No,,5 - most comfortable,,5 - most comfortable,1 - least comfortable,5 - most comfortable,Yes,4,4,4,"Requirement for honors college, cultural ","more interactive, can focus easier",N/A,No,"instruction isn't very in depth, class feels rushed",1 = none at all,1 = none at all,1 = none at all,1 = none at all,class feels rushed,can focus easier,pressure to speak language,,,Online,,,Niether,,5,1 = least anxious,5 = most anxious,1 = least anxious,5 = most comfortable,5 = most comfortable,5 = most comfortable,5 = most communication,5 = most communication,5 = most communication,5 = extremely well,5 = extremely well,5 = extremely well,5 = extremely useful,5 = extremely useful,5 = extremely useful,Yes,5 = great school-life balance,5 = great school-life balance,5 = great school-life balance
2022-10-18 13:10:25,2022-10-18 13:16:31,IP Address,128.6.36.111,100,366,True,2022-10-18 13:16:31,R_1pMbJI9YhAhbY6G,,,,,40.488,-74.4544,anonymous,EN,EG,18-25,940:121:01,,Freshman,,3,no,Face-to-face,,No,,,20+ miles away,No,,5 - most comfortable,3,1 - least comfortable,1 - least comfortable,4,No,5 = readily accessible when I need it,5 = readily accessible when I need it,5 = readily accessible when I need it,expand my knowledge,I feel like I learn better in person,n/a,Yes,,3,5 = a lot of practice,4,4,I feel like I have enough,speaking,nervous speaking in front of class sometimes,n/a,n/a,Face-to-face,Teacher in front of you,no,Niether,,2,2,3,3,4,3,4,1 = least communication,5 = most communication,3,2,4,3,5 = extremely useful,5 = extremely useful,5 = extremely useful,No,4,2,3
2022-10-18 13:10:18,2022-10-18 13:18:32,IP Address,128.6.37.68,100,494,True,2022-10-18 13:18:32,R_7Vvl2Lcn6GbGX61,,,,,40.5511,-74.4606,anonymous,EN,XM,18-25,940:121:01,,Freshman,,2 semesters (high school),No,Other,In class,No,,,20+ miles away,No,,5 - most comfortable,4,3,2,4,No,5 = readily accessible when I need it,4,5 = readily accessible when I need it,It was a requirement,"There wasn't an option that I knew of for an online class, and this was the only available one. ",,Yes,,2,4,2,4,We don't do many activities for writing or speaking,More personal,"Inconvenient ",Conveinient,Harder to communicate,Face-to-face,,I've never done online learning for language,Niether,,3,5 = most anxious,1 = least anxious,3,3,3,3,1 = least communication,3,3,3,3,3,2,2,3,N/A,3,3,3
2022-10-18 13:10:36,2022-10-18 13:19:24,IP Address,128.6.37.249,100,527,True,2022-10-18 13:19:24,R_2aEmCDiYIxLZlne,,,,,40.5511,-74.4606,anonymous,EN,MK,18-25,940:121:01,,Freshman,,3 years,Arabic,Face-to-face,,No,,,1-5 miles away,No,,3,5 - most comfortable,3,3,3,Yes,5 = readily accessible when I need it,3,4,It was a requirement for SAS.,"Because it's more interactive and engaging. ",,Yes,,4,4,4,4,,You can be with the teacher and get more practice of spanish.,"One negative aspect is that it takes time to get to class and come back ",Saving travel time.,"Not retaining as much information ",Face-to-face,because it is more demanding.,"there's more platforms and online resources that can be used. ",Similar,if the teacher has the same work to be given it's the same amount in effiency,4,3,5 = most anxious,4,5 = most comfortable,3,4,3,4,5 = most communication,3,2,2,3,3,3,Yes,4,3,2
